food,uses,our_kcal,usda_kcal,delta_pct,our_protein,usda_protein,our_carbs,usda_carbs,our_fat,usda_fat,usda_match,data_type
"chickpeas",23,164,164.0,0.0,8.9,8.9,27,27.4,2.6,2.6,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt",SR Legacy
"rice",22,130,123.0,-5.4,2.7,2.9,28,26.0,0.3,0.4,"Rice, white, long-grain, parboiled, enriched, cooked",SR Legacy
"parmesan",19,431,392.0,-9.0,38,35.8,4.1,3.2,29,25.0,"Cheese, parmesan, hard",SR Legacy
"full-fat cream cheese",19,342,350.0,2.3,6,6.2,4.1,5.5,34,34.4,"Cheese, cream",SR Legacy
"olives",17,81,81.0,0.0,1,1.0,5.6,5.6,6.9,6.9,"Olives, ripe, canned (jumbo-super colossal)",SR Legacy
"unsalted butter",15,717,717.0,0.0,0.9,0.8,0.1,0.1,81,81.1,"Butter, without salt",SR Legacy
"coconut oil",15,892,892.0,0.0,0,0.0,0,0.0,100,99.1,"Oil, coconut",SR Legacy
"soya protein",14,375,335.0,-10.7,88,88.3,3,0.0,1.5,3.4,"Soy protein isolate",SR Legacy
"halloumi",10,321,295.0,-8.1,22,7.1,2.2,3.5,25,28.6,"Cheese spread, cream cheese base",SR Legacy
"onion",10,40,40.0,0.0,1.1,1.1,9.3,9.3,0.1,0.1,"Onions, raw",SR Legacy
"banana",10,89,89.0,0.0,1.1,1.1,23,22.8,0.3,0.3,"Bananas, raw",SR Legacy
"sesame oil",9,884,884.0,0.0,0,0.0,0,0.0,100,100.0,"Oil, sesame, salad or cooking",SR Legacy
"leeks",8,61,61.0,0.0,1.5,1.5,14,14.2,0.3,0.3,"Leeks, (bulb and lower leaf-portion), raw",SR Legacy
"tamari",8,60,60.0,0.0,10.5,10.5,5.6,5.6,0.1,0.1,"Soy sauce made from soy (tamari)",SR Legacy
"turkey mince",7,150,148.0,-1.3,27,19.7,0,0.0,4.5,7.7,"Turkey, Ground, raw",SR Legacy
"soy sauce",7,53,53.0,0.0,8.1,8.1,4.9,4.9,0.6,0.6,"Soy sauce made from soy and wheat (shoyu)",SR Legacy
"sardines",6,208,208.0,0.0,25,24.6,0,0.0,11.5,11.4,"Fish, sardine, Atlantic, canned in oil, drained solids with bone",SR Legacy
"avocado slices",6,160,167.0,4.4,2,2.0,8.5,8.6,15,15.4,"Avocados, raw, California",SR Legacy
"hemp seeds",6,553,553.0,0.0,32,31.6,8.7,8.7,49,48.8,"Seeds, hemp seed, hulled",SR Legacy
"ginger",6,80,80.0,0.0,1.8,1.8,18,17.8,0.8,0.8,"Ginger root, raw",SR Legacy
"sunflower seeds",5,584,584.0,0.0,21,20.8,20,20.0,51,51.5,"Seeds, sunflower seed kernels, dried",SR Legacy
"honey",5,304,304.0,0.0,0.3,0.3,82,82.4,0,0.0,"Honey",SR Legacy
"parsley",5,36,36.0,0.0,3,3.0,6.3,6.3,0.8,0.8,"Parsley, fresh",SR Legacy
"eggs",4,143,143.0,0.0,12.6,12.6,0.7,0.7,9.5,9.5,"Egg, whole, raw, fresh",SR Legacy
"dry soya mince",4,336,263.0,-21.7,52,16.3,33,1.8,1,20.7,"Ham, minced",SR Legacy
"rice cakes",4,387,392.0,1.3,8.2,7.1,81,81.1,2.8,4.3,"Rice cake, cracker (include hain mini rice cakes)",SR Legacy
"spring onions",4,32,32.0,0.0,1.8,1.8,7.3,7.3,0.2,0.2,"Onions, spring or scallions (includes tops and bulb), raw",SR Legacy
"mango",4,60,60.0,0.0,0.8,0.8,15,15.0,0.4,0.4,"Mangos, raw",SR Legacy
"pumpkin seeds",4,559,559.0,0.0,30,30.2,11,10.7,49,49.0,"Seeds, pumpkin and squash seed kernels, dried",SR Legacy
"sesame seeds",4,573,573.0,0.0,18,17.7,23,23.4,50,49.7,"Seeds, sesame seeds, whole, dried",SR Legacy
"salsa",4,36,29.0,-19.4,1.5,1.4,7,6.7,0.2,0.2,"Sauce, salsa, ready-to-serve",Foundation
"whey",3,400,339.0,-15.3,80,11.7,8,73.4,6,0.5,"Whey, acid, dried",SR Legacy
"potato mash",3,88,89.0,1.1,2,1.6,15,14.6,2.3,2.8,"Fast foods, potato, mashed",SR Legacy
"granola",3,471,489.0,3.8,10,13.7,64,53.9,20,24.3,"Cereals ready-to-eat, granola, homemade",SR Legacy
"broccoli",3,34,31.0,-8.8,2.8,2.6,6.6,6.3,0.4,0.3,"Broccoli, raw",Foundation
"feta",2,264,265.0,0.4,14,14.2,4.1,3.9,21,21.5,"Cheese, feta",SR Legacy
"sour cream",2,198,198.0,0.0,2.4,2.4,4.6,4.6,19,19.4,"Cream, sour, cultured",SR Legacy
"zucchini",2,17,21.0,23.5,1.2,2.7,3.1,3.1,0.3,0.4,"Squash, zucchini, baby, raw",SR Legacy
"mushrooms",2,22,22.0,0.0,3.1,2.5,3.3,4.3,0.3,0.1,"Mushrooms, brown, italian, or crimini, raw",SR Legacy
"red cabbage",2,31,31.0,0.0,1.4,1.4,7.4,7.4,0.2,0.2,"Cabbage, red, raw",SR Legacy
"walnuts",2,654,654.0,0.0,15,15.2,14,13.7,65,65.2,"Nuts, walnuts, english",SR Legacy
"peanut butter",2,588,520.0,-11.6,25,25.9,20,35.6,50,34.0,"Peanut butter, smooth, reduced fat",SR Legacy
"coconut cream",2,330,357.0,8.2,3.6,1.2,6.6,53.2,34,16.3,"Nuts, coconut cream, canned, sweetened",SR Legacy
"crushed tomatoes",2,32,32.0,0.0,1.6,1.6,7,7.3,0.3,0.3,"Tomatoes, crushed, canned",SR Legacy
"new potatoes",2,77,77.0,0.0,2,2.0,17,17.5,0.1,0.1,"Potatoes, flesh and skin, raw",SR Legacy
"dry pasta",2,371,371.0,0.0,13,13.0,75,74.7,1.5,1.5,"Pasta, dry, unenriched",SR Legacy
"cooked basmati",2,130,123.0,-5.4,2.7,2.9,28,26.0,0.3,0.4,"Rice, white, long-grain, parboiled, enriched, cooked",SR Legacy
"wholemeal bread",2,247,252.0,2.0,13,12.4,41,42.7,3.4,3.5,"Bread, whole-wheat, commercially prepared",SR Legacy
"cod loin",2,82,82.0,0.0,18,17.8,0,0.0,0.7,0.7,"Fish, cod, Atlantic, raw",SR Legacy
"maple syrup",2,260,260.0,0.0,0,0.0,67,67.0,0.1,0.1,"Syrups, maple",SR Legacy
"capers",2,23,23.0,0.0,2.4,2.4,4.9,4.9,0.9,0.9,"Capers, canned",SR Legacy
"nori",2,35,35.0,0.0,5.8,5.8,5.1,5.1,0.3,0.3,"Seaweed, laver, raw",SR Legacy
"chilli flakes",2,318,349.0,9.7,12,8.9,57,83.3,17,0.5,"Onions, dehydrated flakes",SR Legacy
"chives",2,30,30.0,0.0,3.3,3.3,4.4,4.3,0.7,0.7,"Chives, raw",SR Legacy
"paprika",2,282,282.0,0.0,14,14.1,54,54.0,13,12.9,"Spices, paprika",SR Legacy
"egg",1,143,143.0,0.0,12.6,12.6,0.7,0.7,9.5,9.5,"Egg, whole, raw, fresh",SR Legacy
"silken tofu",1,55,62.0,12.7,5.8,6.9,2,2.4,2.7,2.7,"MORI-NU, Tofu, silken, firm",SR Legacy
"kidney beans",1,127,127.0,0.0,8.7,8.7,23,22.8,0.5,0.5,"Beans, kidney, red, mature seeds, cooked, boiled, with salt",SR Legacy
"pine nuts",1,673,673.0,0.0,14,13.7,13,13.1,68,68.4,"Nuts, pine nuts, dried",SR Legacy
